Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32499,The Pelican Brief,John Grisham,"Grisham, John",,"=""0385339704""","=""9780385339704""",0,3.97,Delta,Paperback,400,2006,1992,,2018/06/27,,,read,,,,2,,,0,,,,,
8130430,It,Stephen King,"King, Stephen",,"=""""","=""""",4,4.21,Signet,Kindle Edition,1396,1987,1986,,2018/03/15,,,read,,,,1,,,0,,,,,
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4,3.82,Pan Books,Paperback,189,1957,1926,,2013/03/28,,,read,,,,2,,,0,,,,,
34877168,Little Boy Found,L.K. Fox,"Fox, L.K.",,"=""""","=""""",4,3.90,Quercus,Kindle Edition,270,2017,2017,,2018/01/12,,,read,,,,1,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",4,4.15,Penguin Press,Hardcover,338,2017,2017,,2017/12/31,,,read,,,,1,,,0,,,,,
32283133,"Origin (Robert Langdon, #5)",Dan Brown,"Brown, Dan",,"=""0385514239""","=""9780385514231""",3,3.84,Doubleday Books,Hardcover,461,2017,2017,,2017/12/21,,,read,,,,1,,,0,,,,,
34201164,The Rooster Bar,John Grisham,"Grisham, John",,"=""0385541171""","=""9780385541176""",3,3.73,Doubleday ,Hardcover,352,2017,2017,,2017/12/24,,,read,,,,1,,,0,,,,,
38447,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",4,4.08,Anchor Books,Paperback,311,1998,1985,2017/09/11,2017/09/10,,,read,,,,1,,,0,,,,,
7597,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",4,4.05,Harper Perennial Modern Classics,Paperback,429,2006,1967,,2017/08/25,,,read,,,,1,,,0,,,,,
22521941,"Insatiable Appetites (Stone Barrington, #32)",Stuart Woods,"Woods, Stuart",,"=""0399169156""","=""9780399169151""",3,3.77,G.P. Putnam's Sons,Hardcover,320,2015,2015,2017/08/12,2017/08/15,,,read,,,,1,,,0,,,,,
